origin,destination,distance
"Graceland, Elvis Presley Boulevard, Memphis, TN","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",482758
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Hanford Site, Benton County, WA",3007742
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Grand Canyon National Park, Arizona",1966377
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Glacier National Park, West Glacier, MT",4052231
"Fort Sumter National Monument, Sullivan's Island, SC","Columbia River Gorge National Scenic Area, Oregon",4507989
"Graceland, Elvis Presley Boulevard, Memphis, TN","Acadia National Park, Maine",2553219
"Yellowstone National Park, WY 82190","Bryce Canyon National Park, Hwy 63, Bryce, UT",962304
"The Breakers, Ochre Point Avenue, Newport, RI","New Castle Historic District, Delaware",588702
"Terrace Hill, Grand Avenue, Des Moines, IA","Bryce Canyon National Park, Hwy 63, Bryce, UT",1980517
"Carlsbad Caverns National Park, Carlsbad, NM","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2081182
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Congress Hall, Congress Place, Cape May, NJ 08204",2857920
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Fort Sumter National Monument, Sullivan's Island, SC",1007099
"Terrace Hill, Grand Avenue, Des Moines, IA","Congress Hall, Congress Place, Cape May, NJ 08204",1886282
"USS Constitution, Boston, MA","Bryce Canyon National Park, Hwy 63, Bryce, UT",4079429
"Hoover Dam, NV","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2492392
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1717447
"Liberty Bell, 6th Street, Philadelphia, PA","Mount Vernon, Fairfax County, Virginia",242317
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Carlsbad Caverns National Park, Carlsbad, NM",2992105
