origin,destination,distance
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4568737
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Mount Vernon, Fairfax County, Virginia",75403
"Mount Vernon, Fairfax County, Virginia","Hanford Site, Benton County, WA",4263334
"New Castle Historic District, Delaware","The Alamo, Alamo Plaza, San Antonio, TX",2736315
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Olympia Entertainment, Woodward Avenue, Detroit, MI",2168837
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Fort Sumter National Monument, Sullivan's Island, SC",715393
"USS Constitution, Boston, MA","Grand Canyon National Park, Arizona",4225504
"Taliesin, County Road C, Spring Green, Wisconsin","Cape Canaveral, FL",2250465
"French Quarter, New Orleans, LA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1245550
"Mount Vernon, Fairfax County, Virginia","Lost World Caverns, Lewisburg, WV",420070
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Grand Canyon National Park, Arizona",4316197
"New Castle Historic District, Delaware","Pikes Peak, Colorado",2811795
"Lost World Caverns, Lewisburg, WV","USS Constitution, Boston, MA",1126003
"Terrace Hill, Grand Avenue, Des Moines, IA","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",2190251
"USS Alabama, Battleship Parkway, Mobile, AL","Pikes Peak, Colorado",2157571
"USS Alabama, Battleship Parkway, Mobile, AL","French Quarter, New Orleans, LA",232384
"Craters of the Moon National Monument & Preserve, Arco, ID","White House, Pennsylvania Avenue Northwest, Washington, DC",3677215
"Graceland, Elvis Presley Boulevard, Memphis, TN","Lost World Caverns, Lewisburg, WV",1111929
"Carlsbad Caverns National Park, Carlsbad, NM","The Breakers, Ochre Point Avenue, Newport, RI",3575389
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",509622
"Mount Vernon, Fairfax County, Virginia","Pikes Peak, Colorado",2712486
"Congress Hall, Congress Place, Cape May, NJ 08204","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1418227
"Graceland, Elvis Presley Boulevard, Memphis, TN","Grand Canyon National Park, Arizona",2265379
"USS Alabama, Battleship Parkway, Mobile, AL","San Andreas Fault, San Benito County, CA",3676539
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",1616472
"Lost World Caverns, Lewisburg, WV","Congress Hall, Congress Place, Cape May, NJ 08204",719625
"Cape Canaveral, FL","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1528374
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Cape Canaveral, FL",1253439
"New Castle Historic District, Delaware","Congress Hall, Congress Place, Cape May, NJ 08204",84730
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Glacier National Park, West Glacier, MT",1154489
"Graceland, Elvis Presley Boulevard, Memphis, TN","USS Constitution, Boston, MA",2123612
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Shelburne Farms, Harbor Road, Shelburne, VT",2221537
"New Castle Historic District, Delaware","Bryce Canyon National Park, Hwy 63, Bryce, UT",3700130
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",908130
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Bryce Canyon National Park, Hwy 63, Bryce, UT",3928478
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Cape Canaveral, FL",1449191
"White House, Pennsylvania Avenue Northwest, Washington, DC","Ashfall Fossil Bed, Royal, NE",2100633
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Fort Snelling, Tower Avenue, Saint Paul, MN",2337354
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Columbia River Gorge National Scenic Area, Oregon",3674656
"Taliesin, County Road C, Spring Green, Wisconsin","Wright Brothers National Memorial Visitor Center, Manteo, NC",1869857
"Hanford Site, Benton County, WA","Yellowstone National Park, WY 82190",1214950
"Acadia National Park, Maine","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",5418743
"Craters of the Moon National Monument & Preserve, Arco, ID","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",3747256
"West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",354930
"Cape Canaveral, FL","New Castle Historic District, Delaware",1544583
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","The Alamo, Alamo Plaza, San Antonio, TX",1949778
"Congress Hall, Congress Place, Cape May, NJ 08204","Columbia River Gorge National Scenic Area, Oregon",4589082
"USS Alabama, Battleship Parkway, Mobile, AL","Shelburne Farms, Harbor Road, Shelburne, VT",2387575
"The Alamo, Alamo Plaza, San Antonio, TX","Glacier National Park, West Glacier, MT",2995591
"Statue of Liberty, Liberty Island, NYC, NY","Ashfall Fossil Bed, Royal, NE",2245869
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3751821
"Lost World Caverns, Lewisburg, WV","The Breakers, Ochre Point Avenue, Newport, RI",1060206
"Shelburne Farms, Harbor Road, Shelburne, VT","Pikes Peak, Colorado",3189307
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",1432857
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Congress Hall, Congress Place, Cape May, NJ 08204",284500
"Mount Vernon, Fairfax County, Virginia","Craters of the Moon National Monument & Preserve, Arco, ID",3630343
"Liberty Bell, 6th Street, Philadelphia, PA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4626854
"Toltec Mounds, Scott, AR","Olympia Entertainment, Woodward Avenue, Detroit, MI",1402648
"Lost World Caverns, Lewisburg, WV","Ashfall Fossil Bed, Royal, NE",1903828
"Congress Hall, Congress Place, Cape May, NJ 08204","French Quarter, New Orleans, LA",2045021
"Taliesin, County Road C, Spring Green, Wisconsin","New Castle Historic District, Delaware",1544803
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Fort Snelling, Tower Avenue, Saint Paul, MN",1071728
"Hanford Site, Benton County, WA","Glacier National Park, West Glacier, MT",683123
"Hanford Site, Benton County, WA","Congress Hall, Congress Place, Cape May, NJ 08204",4474392
"New Castle Historic District, Delaware","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1187638
"Graceland, Elvis Presley Boulevard, Memphis, TN","Pikes Peak, Colorado",1792648
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Ashfall Fossil Bed, Royal, NE",2270381
"San Andreas Fault, San Benito County, CA","USS Constitution, Boston, MA",5127066
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Mount Vernon, Fairfax County, Virginia",2204704
"San Andreas Fault, San Benito County, CA","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",5217759
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Pikes Peak, Colorado",2729245
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",947062
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","San Andreas Fault, San Benito County, CA",2905229
"San Andreas Fault, San Benito County, CA","Yellowstone National Park, WY 82190",1747331
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1643008
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Craters of the Moon National Monument & Preserve, Arco, ID",3984636
"Graceland, Elvis Presley Boulevard, Memphis, TN","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",671337
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Fort Sumter National Monument, Sullivan's Island, SC",3179558
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Pikes Peak, Colorado",3418392
"Graceland, Elvis Presley Boulevard, Memphis, TN","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",2291550
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Vicksburg National Military Park, Clay Street, Vicksburg, MS",810507
"Mount Vernon, Fairfax County, Virginia","New Castle Historic District, Delaware",169236
"Pikes Peak, Colorado","French Quarter, New Orleans, LA",2019630
"Mount Vernon, Fairfax County, Virginia","The Alamo, Alamo Plaza, San Antonio, TX",2579868
"Ashfall Fossil Bed, Royal, NE","Fort Snelling, Tower Avenue, Saint Paul, MN",607553
"New Castle Historic District, Delaware","Fort Snelling, Tower Avenue, Saint Paul, MN",1900450
"Mount Vernon, Fairfax County, Virginia","Carlsbad Caverns National Park, Carlsbad, NM",2930231
"USS Alabama, Battleship Parkway, Mobile, AL","New Castle Historic District, Delaware",1707248
"Congress Hall, Congress Place, Cape May, NJ 08204","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1518228
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Statue of Liberty, Liberty Island, NYC, NY",2983852
"Hanford Site, Benton County, WA","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",3530581
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Ashfall Fossil Bed, Royal, NE",1399554
"The Breakers, Ochre Point Avenue, Newport, RI","USS Constitution, Boston, MA",120154
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Liberty Bell, 6th Street, Philadelphia, PA",206045
"Lost World Caverns, Lewisburg, WV","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1336291
"Graceland, Elvis Presley Boulevard, Memphis, TN","Cape Canaveral, FL",1341318
"Taliesin, County Road C, Spring Green, Wisconsin","Craters of the Moon National Monument & Preserve, Arco, ID",2398626
"Hoover Dam, NV","Fort Sumter National Monument, Sullivan's Island, SC",3585717
"Yellowstone National Park, WY 82190","Glacier National Park, West Glacier, MT",905478
"Shelburne Farms, Harbor Road, Shelburne, VT","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1532580
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Hanford Site, Benton County, WA",4280062
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Grand Canyon National Park, Arizona",2861597
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Cape Canaveral, FL",2059873
"White House, Pennsylvania Avenue Northwest, Washington, DC","Acadia National Park, Maine",1136168
"Toltec Mounds, Scott, AR","The Alamo, Alamo Plaza, San Antonio, TX",974447
"White House, Pennsylvania Avenue Northwest, Washington, DC","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1259332
"Fort Sumter National Monument, Sullivan's Island, SC","Yellowstone National Park, WY 82190",3522910
"San Andreas Fault, San Benito County, CA","Gateway Arch, Washington Avenue, St Louis, MO",3243113
"Craters of the Moon National Monument & Preserve, Arco, ID","French Quarter, New Orleans, LA",3174475
"Toltec Mounds, Scott, AR","USS Constitution, Boston, MA",2338394
"Pikes Peak, Colorado","Statue of Liberty, Liberty Island, NYC, NY",2909086
"Cape Canaveral, FL","French Quarter, New Orleans, LA",1112328
"New Castle Historic District, Delaware","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1381193
"Statue of Liberty, Liberty Island, NYC, NY","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4676008
"Hoover Dam, NV","Lost World Caverns, Lewisburg, WV",3537579
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1170057
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","The Breakers, Ochre Point Avenue, Newport, RI",3281541
"USS Alabama, Battleship Parkway, Mobile, AL","Taliesin, County Road C, Spring Green, Wisconsin",1681531
"Shelburne Farms, Harbor Road, Shelburne, VT","USS Constitution, Boston, MA",352908
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Acadia National Park, Maine",3724389
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Acadia National Park, Maine",1826373
"The Breakers, Ochre Point Avenue, Newport, RI","Gateway Arch, Washington Avenue, St Louis, MO",1823335
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",2011410
"Taliesin, County Road C, Spring Green, Wisconsin","French Quarter, New Orleans, LA",1729998
"Fort Sumter National Monument, Sullivan's Island, SC","Acadia National Park, Maine",1994724
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1675183
"Gateway Arch, Washington Avenue, St Louis, MO","Ashfall Fossil Bed, Royal, NE",973284
"Mount Vernon, Fairfax County, Virginia","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1078689
"Maryland State House, 100 State Cir, Annapolis, MD 21401","The Alamo, Alamo Plaza, San Antonio, TX",2642482
"West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3683936
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2879277
"USS Alabama, Battleship Parkway, Mobile, AL","Craters of the Moon National Monument & Preserve, Arco, ID",3412760
"Hoover Dam, NV","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",3101055
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","White House, Pennsylvania Avenue Northwest, Washington, DC",550976
"Terrace Hill, Grand Avenue, Des Moines, IA","French Quarter, New Orleans, LA",1631859
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Fort Sumter National Monument, Sullivan's Island, SC",2942338
"Wright Brothers National Memorial Visitor Center, Manteo, NC","USS Constitution, Boston, MA",1063168
"Fort Sumter National Monument, Sullivan's Island, SC","The Alamo, Alamo Plaza, San Antonio, TX",2061745
"USS Constitution, Boston, MA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4988547
"Wright Brothers National Memorial Visitor Center, Manteo, NC","French Quarter, New Orleans, LA",1710546
"Cape Canaveral, FL","Fort Snelling, Tower Avenue, Saint Paul, MN",2528087
"Mount Vernon, Fairfax County, Virginia","Taliesin, County Road C, Spring Green, Wisconsin",1444824
"Taliesin, County Road C, Spring Green, Wisconsin","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",488221
"Toltec Mounds, Scott, AR","Bryce Canyon National Park, Hwy 63, Bryce, UT",2310372
"White House, Pennsylvania Avenue Northwest, Washington, DC","Columbia River Gorge National Scenic Area, Oregon",4356142
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Cape Canaveral, FL",1328279
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","The Alamo, Alamo Plaza, San Antonio, TX",3129292
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Pikes Peak, Colorado",1210842
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1255436
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Yellowstone National Park, WY 82190",2069144
"Terrace Hill, Grand Avenue, Des Moines, IA","Olympia Entertainment, Woodward Avenue, Detroit, MI",961951
"Cape Canaveral, FL","Glacier National Park, West Glacier, MT",4307136
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Vicksburg National Military Park, Clay Street, Vicksburg, MS",861072
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Carlsbad Caverns National Park, Carlsbad, NM",2045404
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1811850
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Liberty Bell, 6th Street, Philadelphia, PA",1865848
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Acadia National Park, Maine",2776915
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Cape Canaveral, FL",3247298
"Terrace Hill, Grand Avenue, Des Moines, IA","Taliesin, County Road C, Spring Green, Wisconsin",431273
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Glacier National Park, West Glacier, MT",3601333
"USS Alabama, Battleship Parkway, Mobile, AL","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",625397
"The Breakers, Ochre Point Avenue, Newport, RI","Wright Brothers National Memorial Visitor Center, Manteo, NC",1008190
"Liberty Bell, 6th Street, Philadelphia, PA","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1861049
"Acadia National Park, Maine","Grand Canyon National Park, Arizona",4655701
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1953916
"Fort Snelling, Tower Avenue, Saint Paul, MN","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1110505
"Hanford Site, Benton County, WA","Pikes Peak, Colorado",1948710
"Hoover Dam, NV","Graceland, Elvis Presley Boulevard, Memphis, TN",2504838
"New Castle Historic District, Delaware","Statue of Liberty, Liberty Island, NYC, NY",298132
"Toltec Mounds, Scott, AR","Craters of the Moon National Monument & Preserve, Arco, ID",2720150
"Hoover Dam, NV","Grand Canyon National Park, Arizona",390505
"Yellowstone National Park, WY 82190","French Quarter, New Orleans, LA",2943174
"Statue of Liberty, Liberty Island, NYC, NY","Olympia Entertainment, Woodward Avenue, Detroit, MI",993338
"Fort Sumter National Monument, Sullivan's Island, SC","Ashfall Fossil Bed, Royal, NE",2351786
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","New Castle Historic District, Delaware",931480
"Mount Vernon, Fairfax County, Virginia","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1079835
"Hanford Site, Benton County, WA","The Alamo, Alamo Plaza, San Antonio, TX",3128728
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",1231682
"Shelburne Farms, Harbor Road, Shelburne, VT","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4850154
"French Quarter, New Orleans, LA","Glacier National Park, West Glacier, MT",3565117
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Lost World Caverns, Lewisburg, WV",2460677
"USS Alabama, Battleship Parkway, Mobile, AL","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",864616
"Pikes Peak, Colorado","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1489713
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",1986021
"USS Alabama, Battleship Parkway, Mobile, AL","White House, Pennsylvania Avenue Northwest, Washington, DC",1557762
"Toltec Mounds, Scott, AR","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",722344
"Craters of the Moon National Monument & Preserve, Arco, ID","Bryce Canyon National Park, Hwy 63, Bryce, UT",849848
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2207410
"Acadia National Park, Maine","Glacier National Park, West Glacier, MT",4450701
"Toltec Mounds, Scott, AR","Liberty Bell, 6th Street, Philadelphia, PA",1850866
"Liberty Bell, 6th Street, Philadelphia, PA","Graceland, Elvis Presley Boulevard, Memphis, TN",1634964
"Terrace Hill, Grand Avenue, Des Moines, IA","New Castle Historic District, Delaware",1764053
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","New Castle Historic District, Delaware",2746841
"The Breakers, Ochre Point Avenue, Newport, RI","Cape Canaveral, FL",2049951
"Terrace Hill, Grand Avenue, Des Moines, IA","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1340289
"Carlsbad Caverns National Park, Carlsbad, NM","Yellowstone National Park, WY 82190",1844673
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Yellowstone National Park, WY 82190",3925672
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Ashfall Fossil Bed, Royal, NE",1415710
"USS Constitution, Boston, MA","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1823494
"Shelburne Farms, Harbor Road, Shelburne, VT","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1582765
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Fort Snelling, Tower Avenue, Saint Paul, MN",1817199
"Taliesin, County Road C, Spring Green, Wisconsin","Ashfall Fossil Bed, Royal, NE",751773
"Gateway Arch, Washington Avenue, St Louis, MO","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",381136
"Craters of the Moon National Monument & Preserve, Arco, ID","Olympia Entertainment, Woodward Avenue, Detroit, MI",2929304
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Glacier National Park, West Glacier, MT",3061692
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","San Andreas Fault, San Benito County, CA",4976755
"USS Constitution, Boston, MA","Columbia River Gorge National Scenic Area, Oregon",4814513
"Maryland State House, 100 State Cir, Annapolis, MD 21401","USS Constitution, Boston, MA",689767
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Gateway Arch, Washington Avenue, St Louis, MO",2009904
"USS Constitution, Boston, MA","Yellowstone National Park, WY 82190",3834982
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Yellowstone National Park, WY 82190",1725271
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",974305
"Yellowstone National Park, WY 82190","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2524697
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Statue of Liberty, Liberty Island, NYC, NY",720092
"Craters of the Moon National Monument & Preserve, Arco, ID","Fort Snelling, Tower Avenue, Saint Paul, MN",2074907
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Olympia Entertainment, Woodward Avenue, Detroit, MI",418716
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1000446
"Graceland, Elvis Presley Boulevard, Memphis, TN","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",787078
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Glacier National Park, West Glacier, MT",2707726
"Lost World Caverns, Lewisburg, WV","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1013896
"The Breakers, Ochre Point Avenue, Newport, RI","Fort Snelling, Tower Avenue, Saint Paul, MN",2222722
"Congress Hall, Congress Place, Cape May, NJ 08204","Bryce Canyon National Park, Hwy 63, Bryce, UT",3823059
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Fort Snelling, Tower Avenue, Saint Paul, MN",1111015
"The Alamo, Alamo Plaza, San Antonio, TX","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1693831
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Yellowstone National Park, WY 82190",3415222
"Hoover Dam, NV","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",4276900
"Liberty Bell, 6th Street, Philadelphia, PA","Fort Snelling, Tower Avenue, Saint Paul, MN",1884969
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","The Alamo, Alamo Plaza, San Antonio, TX",1939427
"Acadia National Park, Maine","Columbia River Gorge National Scenic Area, Oregon",5244120
"The Breakers, Ochre Point Avenue, Newport, RI","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4964607
"Lost World Caverns, Lewisburg, WV","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",666822
"USS Alabama, Battleship Parkway, Mobile, AL","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",1170385
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Maryland State House, 100 State Cir, Annapolis, MD 21401",1793552
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Grand Canyon National Park, Arizona",232427
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","French Quarter, New Orleans, LA",1301278
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Bryce Canyon National Park, Hwy 63, Bryce, UT",1875561
"Toltec Mounds, Scott, AR","Lost World Caverns, Lewisburg, WV",1326109
"Columbia River Gorge National Scenic Area, Oregon","Fort Snelling, Tower Avenue, Saint Paul, MN",2638062
"The Alamo, Alamo Plaza, San Antonio, TX","Acadia National Park, Maine",3718928
"Mount Vernon, Fairfax County, Virginia","Columbia River Gorge National Scenic Area, Oregon",4377863
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","USS Constitution, Boston, MA",3294781
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Columbia River Gorge National Scenic Area, Oregon",4426183
"Mount Vernon, Fairfax County, Virginia","Glacier National Park, West Glacier, MT",3625420
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Wright Brothers National Memorial Visitor Center, Manteo, NC",3071895
"Cape Canaveral, FL","Pikes Peak, Colorado",3065349
"Hoover Dam, NV","Taliesin, County Road C, Spring Green, Wisconsin",2756482
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Acadia National Park, Maine",2790125
"Yellowstone National Park, WY 82190","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",1608811
"Hoover Dam, NV","Acadia National Park, Maine",4857457
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Craters of the Moon National Monument & Preserve, Arco, ID",1183571
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","Acadia National Park, Maine",2126830
"The Breakers, Ochre Point Avenue, Newport, RI","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",370511
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","The Alamo, Alamo Plaza, San Antonio, TX",3516822
"The Breakers, Ochre Point Avenue, Newport, RI","Ashfall Fossil Bed, Royal, NE",2534468
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","USS Alabama, Battleship Parkway, Mobile, AL",1368815
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","The Alamo, Alamo Plaza, San Antonio, TX",1309345
"Toltec Mounds, Scott, AR","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",1001984
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",2183781
"New Castle Historic District, Delaware","Yellowstone National Park, WY 82190",3498473
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","San Andreas Fault, San Benito County, CA",2345929
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Lost World Caverns, Lewisburg, WV",965974
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",2050914
